id,code,name,family,general_code,opening_kg,movement_kg,on_hand_kg
08d0e0d9-57bf-4efe-81b4-7a19caf37fd7,PACA_NACIONAL,"PACA NACIONAL",fiber,CARTON,0,53725.000,53725.000
000a5e67-3ceb-40b1-a54a-1165dc7d837e,PACA_LIMPIA,"PACA LIMPIA",fiber,CARTON,0,16905.000,16905.000
15fb03bd-ba75-421a-83d0-546ac9884f1d,PACA_BASURA,"PACA BASURA",fiber,CARTON,0,1600.000,1600.000
7e43e302-c312-4f9b-bb58-5e630cc38b06,PACA_AMERICANA,"PACA AMERICANA",fiber,CARTON,0,0.000,0.000
bc46d8fe-62a6-42d7-9a2d-e69a44c66886,LODOS,LODOS,other,CARTON,0,0,0
26dfeab1-14f0-4f05-9815-ef7dd49197ba,CARTON_NACIONAL,"CARTON NACIONAL",fiber,CARTON,0,0,0
7ab7ed5b-ad53-4cc8-8c33-feb4bca0b9c3,CARTON_AMERICANO,"CARTON AMERICANO",fiber,CARTON,0,0,0
7cb5af41-dd0f-4451-9dd6-0fa620ed7ce3,CAPLE,CAPLE,fiber,CARTON,9600.000,0,9600.000
a848d775-5d6d-4a8a-afbe-2bfea2b15765,BASURA,BASURA,fiber,CARTON,0,0,0
9c0800dd-9bb2-46dd-be35-2c3fb689216e,RETORNO_INDUSTRIAL_ESPECIAL,"RETORNO INDUSTRIAL ESPECIAL",metal,CHATARRA,0,0,0
9950e351-6716-4caa-a6e5-dfccf2513529,RETORNO_INDUSTRIAL,"RETORNO INDUSTRIAL",metal,CHATARRA,0,7000.000,7000.000
1f9d57fb-c379-46df-94f7-f93d82d67843,REBABA,REBABA,metal,CHATARRA,0,80.000,80.000
f05eb20f-5e8c-40ab-88f0-907bdf3a5431,PLACA_Y_ESTRUCTURA_LARGA,"PLACA Y ESTRUCTURA LARGA",metal,CHATARRA,0,2000.000,2000.000
e0f8cd1b-16e6-4833-a1b1-92a7d6ee85ef,PLACA_Y_ESTRUCTURA_CORTA,"PLACA Y ESTRUCTURA CORTA",metal,CHATARRA,0,0,0
47193986-3a6a-467e-8616-656ae4cae977,PESADO,PESADO,metal,CHATARRA,0,15000.000,15000.000
a6b451c7-cba9-41d1-9934-5e487e4da757,PACA_DE_SEGUNDA,"PACA DE SEGUNDA",metal,CHATARRA,0,0,0
84e76f01-ae97-4d64-b9c4-9fea70fb28f0,PACA_DE_PRIMERA,"PACA DE PRIMERA",metal,CHATARRA,0,0,0
4ff70896-afe4-4b09-b498-24148fe923c6,MIXTO_PARA_PROCESAR,"MIXTO PARA PROCESAR",metal,CHATARRA,0,0,0
