id,code,name,opening_kg,movement_kg,on_hand_kg
88c788cd-06c8-43a9-b429-aba0c440f2f4,CARTON,CARTON,248000.000,-194775.500,53224.500
4c7a25df-991f-4443-9269-4e853df6fed3,CHATARRA,CHATARRA,68580.000,-38203.200,30376.800
a3b39add-83a8-4b9e-92db-242b2b852a40,METAL,METAL,4115.000,4631.400,8746.400
6a15cf8a-9064-49a4-8795-946591fee553,PLASTICO,PLASTICO,0,0,0
ecc6f380-5996-43ba-87b1-d751882974d8,MADERA,MADERA,0,0,0
97e156d5-3719-4083-885c-e6a25af94015,PAPEL,PAPEL,10300.000,-8314.400,1985.600
