allows_direct_entry,allows_sale,allows_transformation_output,classification_kind,code,created_at,family,flow_scope,general_material_id,id,is_active,name,notes,sort_order,tracks_patio_stock,updated_at
True,True,True,classified_stock,MIXTO_PARA_PROCESAR,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,4ff70896-afe4-4b09-b498-24148fe923c6,True,MIXTO PARA PROCESAR,Clasificacion comercial de chatarra,340,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,MIXTO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,912e86e8-a6b4-4c01-9d9e-fe16c3d7d4d8,True,MIXTO,Clasificacion comercial de chatarra,330,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,LAMINA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,eaaa8aa0-69bc-4633-9e82-46ae02473f3f,True,LAMINA,Clasificacion comercial de chatarra,260,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,BOTE_GRANEL,2026-03-13T19:39:38.720229+00:00,metal,BOTH,4c7a25df-991f-4443-9269-4e853df6fed3,1c432928-2e6b-44db-9573-f38bf22bb128,True,BOTE GRANEL,Clasificacion comercial de chatarra,140,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,TUBO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,5e0d9287-012e-4263-84b1-3ce48d31be97,True,TUBO,Clasificacion comercial de metal,660,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,TRASTE,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,998b73cc-9534-446c-86b2-ae30d26b52fe,True,TRASTE,Clasificacion comercial de metal,650,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,RIN_GRANDE,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,160b06f8-a89a-46d9-8a29-f3130c17d154,True,RIN GRANDE,Clasificacion comercial de metal,630,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,RIN_DE_ALUMINIO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,f8cba121-59e3-4d5e-8b89-68efe6a0b991,True,RIN DE ALUMINIO,Clasificacion comercial de metal,620,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,RIN_CHICO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,a9e35ea1-d143-4d1f-846c-8757512edc56,True,RIN CHICO,Clasificacion comercial de metal,610,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,REBABA_DE_BRONCE,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,9f8bc4c0-a2e4-4ca2-a9e9-59d4547af119,True,REBABA DE BRONCE,Clasificacion comercial de metal,560,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,RADIADOR_PUNTA_DE_COBRE,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,d98d64d5-a7f7-48d5-8654-d55c0c52d33a,True,RADIADOR PUNTA DE COBRE,Clasificacion comercial de metal,540,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,RADIADOR_LATON,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,552a46f5-952f-4347-bebb-8d704f79811b,True,RADIADOR LATON,Clasificacion comercial de metal,530,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,RADIADOR_DE_COBRE,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,d69371ee-5cdd-4957-a593-072469988a6d,True,RADIADOR DE COBRE,Clasificacion comercial de metal,520,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,RADIADOR_DE_ALUMINIO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,217ad8f4-a228-4695-aa06-2e73deabbbf3,True,RADIADOR DE ALUMINIO,Clasificacion comercial de metal,510,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PLACA_DE_ALUMINIO,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,dd4ef2d2-b7d4-4e90-ad9a-034ccb775f16,True,PLACA DE ALUMINIO,Clasificacion comercial de metal,470,True,2026-03-13T19:39:38.720229+00:00
True,True,True,classified_stock,PERFIL_SIN_PINTURA,2026-03-13T19:39:38.720229+00:00,metal,BOTH,a3b39add-83a8-4b9e-92db-242b2b852a40,9abccac5-dc65-4754-b3f5-a84989eacae6,True,PERFIL SIN PINTURA,Clasificacion comercial de metal,450,True,2026-03-13T19:39:38.720229+00:00
